id,keyword,location,text,target
0,ablaze,"Chandigarh, India","RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
1,ablaze,District 9,"RT @bay8department: Our MOA Globe Ad for Stray Kids' 3rd Anniversary is up! It is looking ablaze and fired up at such a huge view! 🔥

Please do follow health protocols and guidelines, and keep safe! Tag us if you are to post your videos, we can't wait to see them! 😉 https://t.co/xRaDp8plRn",0
2,ablaze,,RT @rodwave: Get some money travel see the world you’ll feel way better,0
3,ablaze,Murica,"Evanescent gaze
Starlit orbs, violet haze
Heart flutters, ablaze https://t.co/inRNuzXppE",0
4,ablaze,"Nairobi,Kenya","RT @adrianblomfield: 2nd Battalion, the Mercian Regiment (soon to be no more) came to Kenya on last hurrah, brought Covid with them, burned alive an elephant calf and then set ablaze 10,000 acres of cedar forest and wildlife sanctuary. Finest army in the world or a new version of Carry on Camping?",1
5,ablaze,,"RT @OpIndia_com: West Bengal polls: Election Commission’s vehicle set ablaze by miscreants in erstwhile Maoist stronghold, driver escapes narrowly

https://t.co/bBndFzZ5ny",1
6,ablaze,Kanto,"PARCEL SORTING DAY! 

Selling SHINING FATES !!! 

Also for sale ... 

Hidden Fates, Evolutions , Vivid Voltage , Unified Minds , Darkness Ablaze and more! 

Message me! 

Got ETB , Booster Boxes, single booster packs, you name it!

International shipping available!

Limited stock",0
7,ablaze,3racha♕︎,"RT @bay8department: Our MOA Globe Ad for Stray Kids' 3rd Anniversary is up! It is looking ablaze and fired up at such a huge view! 🔥

Please do follow health protocols and guidelines, and keep safe! Tag us if you are to post your videos, we can't wait to see them! 😉 https://t.co/xRaDp8plRn",0
8,ablaze,,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
9,ablaze,India,"RT @filmfare: Say hello to another one of our first-time performers, #SaraAliKhan who surely set the stage ablaze with her beautiful performance at the #VimalElaichiFilmfareAwards 2021. https://t.co/jtOBX2hMMj",0
10,ablaze,,"Law and order my foot!!

""Two AIADMK functionaries brutally murdered a class 10 girl by setting her on fire in Villupuram district of Tamil Nadu""

Previously, They've been charged under criminal offence 7 years back for brutally attacking victims uncle. 

https://t.co/i7bRe47hQh https://t.co/DXNw7zu9t7",1
11,ablaze,,"RT @Its_Nistha: Wishing everyone a Happy Holika Dahan
This holy festival signifies the triumph of the good over the evil by merging the fact that the almighty always favours true devotion and 'Dharma'. May all kind of evils get set ablaze on this sacred day!
#होलिकादहन https://t.co/6l0lszsiQv",0
